City,Country,Latitude,Longitude
BASEL,Switzerland,47.5596,7.5886
BUDAPEST,Hungary,47.4979,19.0402
DE,Unknown,0.0,0.0
DRESDEN,Germany,51.0504,13.7373
DUSSELDORF,Germany,51.2277,6.7735
HEATHROW,United Kingdom,51.47,-0.4543
KASSEL,Germany,51.3127,9.4797
LJUBLJANA,Slovenia,46.0569,14.5058
MAASTRICHT,Netherlands,50.8514,5.6909
MALMO,Sweden,55.605,13.0038
MONTELIMAR,France,44.5581,4.7509
MUENCHEN,Germany,48.1351,11.582
OSLO,Norway,59.9139,10.7522
PERPIGNAN,France,42.6886,2.8948
ROMA,Italy,41.9028,12.4964
SONNBLICK,Austria,47.0542,12.9576
STOCKHOLM,Sweden,59.3293,18.0686
TOURS,France,47.3941,0.6848
