datetime,BASEL,BUDAPEST,DE,DRESDEN,DUSSELDORF,HEATHROW,KASSEL,LJUBLJANA,MAASTRICHT,MALMO,MONTELIMAR,MUENCHEN,OSLO,PERPIGNAN,ROMA,SONNBLICK,STOCKHOLM,TOURS
2000-01-01,0.89,0.92,,0.89,0.92,0.94,0.93,0.83,0.98,,0.85,0.91,0.94,0.71,0.72,0.89,,0.97
2000-01-02,0.87,0.94,,0.89,0.87,0.89,0.92,0.76,0.95,,0.82,0.9,0.94,0.67,0.74,0.86,,0.99
2000-01-03,0.81,0.95,,0.79,0.78,0.91,0.9,0.83,0.87,,0.92,0.92,0.88,0.85,0.77,0.41,,0.91
2000-01-04,0.79,0.94,,0.88,0.87,0.89,0.94,0.88,0.92,,0.85,0.75,0.58,0.85,0.85,0.25,,0.95
2000-01-05,0.9,0.88,,0.76,0.8,0.85,0.84,0.85,0.87,,0.82,0.87,0.94,0.74,0.92,0.77,,0.95
2000-01-06,0.85,0.89,,0.81,0.83,0.84,0.94,0.89,0.86,,0.91,0.99,0.9,0.85,0.89,0.45,,0.92
2000-01-07,0.84,1.0,,0.93,0.79,0.82,0.92,0.93,0.86,,0.81,0.82,0.76,0.56,0.89,0.36,,0.96
2000-01-08,0.79,0.97,,0.79,0.85,0.81,0.87,0.85,0.91,,0.89,0.78,0.78,0.83,0.9,0.53,,0.97
2000-01-09,0.88,0.95,,0.95,0.94,0.84,0.89,0.88,0.95,,0.94,0.91,0.9,0.84,0.88,0.59,,0.91
2000-01-10,0.91,0.89,,0.92,0.96,0.86,0.81,0.87,1.0,,0.77,0.95,0.89,0.58,0.85,0.97,,0.94
2000-01-11,0.88,0.86,,0.84,0.86,0.85,0.9,0.85,0.92,,0.78,0.91,0.94,0.63,0.89,0.83,,0.98
2000-01-12,0.77,0.78,,0.77,0.79,0.81,0.89,0.74,0.86,,0.84,0.88,0.96,0.82,0.92,0.38,,0.95
2000-01-13,0.78,0.95,,0.76,0.73,0.87,0.85,0.76,0.78,,0.89,0.81,0.79,0.9,0.93,0.19,,0.92
2000-01-14,0.8,0.89,,0.78,0.85,0.86,0.88,0.75,0.93,,0.79,0.83,0.65,0.84,0.77,0.65,,0.92
2000-01-15,0.85,0.89,,0.92,0.77,0.86,0.81,0.86,0.88,,0.73,0.94,0.84,0.94,0.8,0.52,,0.88
2000-01-16,0.8,0.78,,0.92,0.93,0.83,0.95,0.8,0.96,,0.67,0.83,0.96,0.85,0.86,0.75,,0.83
2000-01-17,0.79,0.79,,0.95,0.9,0.91,0.9,0.83,0.96,,0.74,0.86,0.41,0.55,0.71,0.94,,0.9
2000-01-18,0.83,0.85,,0.8,0.78,0.88,0.83,0.73,0.9,,0.69,0.96,0.37,0.53,0.87,0.9,,0.87
2000-01-19,0.69,0.75,,0.8,0.79,0.83,0.83,0.46,0.86,,0.57,0.81,0.64,0.54,0.55,0.85,,0.81
2000-01-20,0.72,0.79,,0.9,0.87,0.9,0.9,0.62,0.93,,0.68,0.76,0.71,0.51,0.58,0.88,,0.78
2000-01-21,0.74,0.73,,0.8,0.79,0.8,0.8,0.55,0.94,,0.62,0.88,0.62,0.49,0.92,0.9,,0.8
2000-01-22,0.8,0.63,,0.92,0.86,0.75,0.96,0.7,0.95,,0.72,0.97,0.92,0.5,0.93,0.88,,0.87
2000-01-23,0.86,0.67,,0.82,0.83,0.75,0.78,0.74,0.9,,0.69,0.92,0.82,0.55,0.85,0.91,,0.88
2000-01-24,0.78,0.44,,0.89,0.66,0.8,0.83,0.52,0.79,,0.63,0.8,0.93,0.57,0.7,0.87,,0.87
2000-01-25,0.61,0.67,,0.73,0.66,0.91,0.83,0.63,0.75,,0.7,0.82,0.93,0.74,0.64,0.66,,0.7
2000-01-26,0.71,0.61,,0.87,0.72,0.85,0.86,0.7,0.76,,0.73,0.78,0.93,0.94,0.82,0.47,,0.7
2000-01-27,0.76,0.71,,0.83,0.69,0.84,0.89,0.64,0.7,,0.86,0.71,0.78,0.94,0.8,0.46,,0.81
2000-01-28,0.78,0.55,,0.61,0.69,0.82,0.7,0.76,0.74,,0.82,0.69,0.79,0.81,0.91,0.6,,0.87
2000-01-29,0.65,0.73,,0.77,0.89,0.82,0.93,0.72,0.93,,0.85,0.68,0.9,0.58,0.95,0.84,,0.92
2000-01-30,0.74,0.7,,0.68,0.81,0.77,0.76,0.71,0.92,,0.77,0.9,0.4,0.59,0.85,0.98,,0.88
2000-01-31,0.74,0.74,,0.81,0.81,0.77,0.89,0.83,0.85,,0.7,0.72,0.66,0.61,0.92,0.86,,0.92
2000-02-01,0.84,0.74,,0.78,0.75,0.85,0.83,0.8,0.81,,0.85,0.63,0.85,0.9,0.91,0.46,,0.96
2000-02-02,0.89,0.81,,0.81,0.84,0.75,0.85,0.74,0.88,,0.92,0.7,0.94,0.75,0.91,0.64,,0.94
2000-02-03,0.74,0.66,,0.85,0.81,0.85,0.79,0.66,0.87,,0.68,0.78,0.7,0.53,0.95,0.96,,0.87
2000-02-04,0.78,0.58,,0.79,0.82,0.86,0.92,0.66,0.89,,0.71,0.68,0.89,0.5,0.67,0.82,,0.86
2000-02-05,0.65,0.76,,0.83,0.62,0.8,0.82,0.67,0.64,,0.81,0.85,0.94,0.83,0.68,0.99,,0.77
2000-02-06,0.7,0.78,,0.68,0.67,0.88,0.69,0.71,0.76,,0.82,0.69,0.8,0.86,0.86,0.7,,0.94
2000-02-07,0.67,0.98,,0.71,0.78,0.81,0.77,0.7,0.85,,0.79,0.68,0.74,0.6,0.88,0.9,,0.94
2000-02-08,0.72,0.8,,0.71,0.78,0.73,0.75,0.8,0.82,,0.8,0.76,0.82,0.64,0.92,0.9,,0.89
2000-02-09,0.72,0.72,,0.79,0.72,0.68,0.75,0.69,0.76,,0.6,0.78,0.67,0.52,0.9,0.94,,0.81
2000-02-10,0.67,0.65,,0.64,0.72,0.71,0.83,0.65,0.82,,0.66,0.64,0.86,0.51,0.45,0.77,,0.91
2000-02-11,0.84,0.8,,0.85,0.77,0.76,0.72,0.73,0.84,,0.77,0.86,0.6,0.64,0.74,0.68,,0.83
2000-02-12,0.71,0.76,,0.69,0.77,0.75,0.84,0.8,0.84,,0.61,0.9,0.93,0.45,0.9,0.78,,0.87
2000-02-13,0.77,0.65,,0.89,0.74,0.69,0.85,0.85,0.8,,0.71,0.84,0.77,0.45,0.81,0.89,,0.97
2000-02-14,0.82,0.71,,0.77,0.79,0.9,0.69,0.76,0.85,,0.76,0.79,0.6,0.65,0.79,0.96,,0.98
2000-02-15,0.8,0.77,,0.91,0.83,0.82,0.91,0.67,0.91,,0.74,0.88,0.95,0.6,0.9,0.95,,0.91
