datetime,BASEL,BUDAPEST,DE,DRESDEN,DUSSELDORF,HEATHROW,KASSEL,LJUBLJANA,MAASTRICHT,MALMO,MONTELIMAR,MUENCHEN,OSLO,PERPIGNAN,ROMA,SONNBLICK,STOCKHOLM,TOURS
2000-01-01,276.04999999999995,268.25,,274.15,277.34999999999997,280.15,276.65,268.34999999999997,278.75,276.04999999999995,278.65,274.84999999999997,268.15,285.34999999999997,274.75,257.95,270.84999999999997,281.65
2000-01-02,276.75,269.54999999999995,,275.65,279.65,281.04999999999995,275.45,272.25,279.34999999999997,276.84999999999997,281.45,275.04999999999995,272.34999999999997,282.95,277.34999999999997,259.45,274.45,281.04999999999995
2000-01-03,275.34999999999997,272.34999999999997,,277.34999999999997,280.84999999999997,282.54999999999995,276.65,272.84999999999997,279.95,278.75,276.34999999999997,272.75,274.34999999999997,281.75,276.95,263.95,273.95,281.25
2000-01-04,277.04999999999995,272.15,,277.54999999999995,280.95,280.15,277.95,269.54999999999995,280.45,277.65,280.34999999999997,276.95,275.25,281.75,279.15,267.54999999999995,276.65,281.75
2000-01-05,279.15,273.34999999999997,,274.95,278.34999999999997,279.54999999999995,275.45,270.15,278.34999999999997,276.95,281.34999999999997,278.45,272.45,282.34999999999997,278.15,265.54999999999995,272.54999999999995,281.15
2000-01-06,277.34999999999997,272.25,,274.65,280.75,282.04999999999995,276.75,269.34999999999997,280.45,277.25,278.75,272.15,278.45,280.54999999999995,278.54999999999995,266.54999999999995,275.65,280.25
2000-01-07,277.84999999999997,270.34999999999997,,275.15,279.75,280.34999999999997,277.54999999999995,269.54999999999995,279.75,276.95,279.75,276.54999999999995,276.95,283.04999999999995,279.84999999999997,265.25,276.04999999999995,279.15
2000-01-08,278.75,271.95,,276.75,279.75,280.54999999999995,277.34999999999997,269.95,279.04999999999995,277.84999999999997,277.65,275.84999999999997,278.65,282.25,279.34999999999997,264.65,278.25,281.34999999999997
2000-01-09,277.75,271.75,,275.04999999999995,275.65,276.34999999999997,276.54999999999995,270.75,277.15,276.04999999999995,277.95,274.95,274.75,282.15,280.15,262.54999999999995,277.04999999999995,278.75
2000-01-10,275.54999999999995,273.15,,273.75,274.25,275.34999999999997,274.95,271.95,272.84999999999997,275.65,279.54999999999995,272.54999999999995,272.54999999999995,282.34999999999997,281.65,259.84999999999997,274.34999999999997,274.95
2000-01-11,276.34999999999997,274.45,,272.45,273.84999999999997,278.54999999999995,272.45,272.95,272.95,275.95,279.04999999999995,272.54999999999995,274.75,279.84999999999997,279.15,258.84999999999997,277.04999999999995,271.75
2000-01-12,275.54999999999995,273.45,,270.65,275.25,281.15,273.04999999999995,272.95,273.54999999999995,276.34999999999997,279.15,270.75,276.15,276.34999999999997,278.65,260.15,277.54999999999995,272.75
2000-01-13,274.84999999999997,269.34999999999997,,268.75,274.45,276.95,271.84999999999997,272.15,275.04999999999995,274.54999999999995,276.34999999999997,270.25,274.65,275.15,279.54999999999995,261.54999999999995,276.65,274.65
2000-01-14,273.75,271.45,,271.45,276.45,276.04999999999995,274.34999999999997,272.54999999999995,275.95,272.75,277.15,269.04999999999995,272.65,278.15,282.54999999999995,261.54999999999995,272.95,276.75
2000-01-15,271.84999999999997,272.45,,271.75,275.65,277.75,274.04999999999995,272.15,275.54999999999995,273.95,279.34999999999997,267.34999999999997,269.45,281.34999999999997,281.65,264.25,271.45,276.65
2000-01-16,272.75,272.15,,272.95,277.34999999999997,277.84999999999997,274.54999999999995,271.75,275.65,276.84999999999997,275.65,270.25,271.34999999999997,280.84999999999997,279.45,259.54999999999995,274.34999999999997,274.54999999999995
2000-01-17,274.04999999999995,274.75,,277.95,279.34999999999997,277.54999999999995,279.04999999999995,269.65,278.65,280.15,276.95,274.95,280.84999999999997,281.04999999999995,277.65,260.34999999999997,276.84999999999997,276.75
2000-01-18,277.65,275.25,,275.34999999999997,279.04999999999995,277.95,276.75,274.15,278.84999999999997,277.45,279.54999999999995,274.84999999999997,276.54999999999995,282.34999999999997,279.45,261.45,272.95,277.34999999999997
2000-01-19,275.54999999999995,273.75,,272.15,277.25,278.54999999999995,273.04999999999995,274.95,276.75,274.75,279.75,271.75,272.84999999999997,281.15,278.95,255.45,271.75,277.25
2000-01-20,273.54999999999995,272.75,,274.25,277.15,274.75,275.65,272.04999999999995,276.45,276.95,276.34999999999997,272.54999999999995,274.45,279.95,275.84999999999997,255.14999999999998,272.84999999999997,276.75
2000-01-21,275.65,274.04999999999995,,271.34999999999997,277.75,278.15,274.95,277.25,277.54999999999995,270.75,277.15,273.25,269.04999999999995,280.75,279.84999999999997,257.34999999999997,266.34999999999997,277.34999999999997
2000-01-22,276.25,269.15,,270.95,277.25,278.34999999999997,273.84999999999997,269.75,276.34999999999997,267.45,278.65,273.45,267.84999999999997,279.15,278.04999999999995,257.25,263.04999999999995,276.75
2000-01-23,275.15,269.65,,264.95,272.34999999999997,277.15,268.75,270.84999999999997,274.15,266.54999999999995,277.75,270.34999999999997,265.25,279.65,278.65,255.45,263.25,275.65
2000-01-24,269.15,268.75,,264.95,270.54999999999995,276.25,266.65,269.45,269.75,265.75,277.15,262.95,265.75,278.65,277.75,250.24999999999997,265.25,274.15
2000-01-25,266.65,266.65,,266.25,272.04999999999995,273.65,266.95,265.45,271.04999999999995,274.04999999999995,272.25,260.95,268.95,275.75,273.84999999999997,249.64999999999998,269.34999999999997,271.15
2000-01-26,266.34999999999997,268.84999999999997,,272.15,274.54999999999995,276.34999999999997,270.34999999999997,265.25,273.34999999999997,276.04999999999995,272.45,263.95,269.34999999999997,275.84999999999997,273.65,257.34999999999997,273.25,271.34999999999997
2000-01-27,267.95,274.34999999999997,,273.84999999999997,273.34999999999997,273.95,271.54999999999995,269.34999999999997,273.65,277.45,272.25,268.84999999999997,272.25,278.34999999999997,274.34999999999997,264.75,274.15,273.25
2000-01-28,271.45,273.84999999999997,,274.34999999999997,275.65,277.65,272.34999999999997,270.25,274.65,276.84999999999997,275.04999999999995,275.34999999999997,270.54999999999995,281.75,274.84999999999997,259.54999999999995,271.75,275.95
2000-01-29,280.54999999999995,275.45,,278.95,281.45,281.54999999999995,278.84999999999997,274.65,280.84999999999997,277.65,275.54999999999995,279.15,276.25,281.75,281.04999999999995,262.15,274.65,280.54999999999995
2000-01-30,283.15,279.45,,277.84999999999997,282.54999999999995,284.75,279.65,277.75,282.15,276.95,280.75,280.54999999999995,273.45,287.75,282.15,264.84999999999997,274.34999999999997,284.15
2000-01-31,281.25,281.45,,280.54999999999995,283.04999999999995,284.65,281.45,277.65,282.65,277.45,284.34999999999997,280.75,270.04999999999995,286.15,280.45,266.84999999999997,269.75,282.45
2000-02-01,278.54999999999995,282.75,,280.04999999999995,281.95,283.04999999999995,280.04999999999995,279.04999999999995,281.65,277.75,280.54999999999995,281.75,267.95,280.75,283.54999999999995,267.84999999999997,270.34999999999997,280.34999999999997
